N,K,P,Zn,Mg,S,pH,Rainfall,Temperature,Humidity,Crop_Subcategory
2.9,3.2,1.9,0.2,1.1,0.3,7.0,792.0,27.9,76.2,Rice_Basmati
3.2,2.6,2.3,0.5,1.2,0.4,6.3,826.8,23.0,66.5,Rice_Basmati
2.7,2.7,2.3,0.4,1.0,0.7,6.2,715.1,25.2,73.6,Rice_Basmati
2.9,3.1,1.9,0.3,1.4,0.4,7.1,663.5,26.9,73.8,Rice_Basmati
3.2,3.1,1.8,0.5,1.2,0.7,6.7,798.3,28.5,65.7,Rice_Basmati
3.1,3.4,2.1,0.6,1.1,0.7,6.4,681.2,26.3,78.7,Rice_Basmati
2.8,2.6,1.8,0.4,1.2,0.4,6.8,829.2,23.2,74.3,Rice_Basmati
2.7,2.7,1.6,0.3,1.4,0.7,6.6,752.7,28.2,79.3,Rice_Basmati
3.0,3.0,2.1,0.3,1.1,0.4,7.1,830.9,23.6,65.9,Rice_Basmati
3.2,2.9,1.5,0.6,1.0,0.5,6.5,676.2,29.5,67.5,Rice_Basmati
3.1,2.6,1.9,0.4,1.3,0.7,7.0,849.4,24.3,74.2,Rice_Basmati
3.1,2.5,1.5,0.5,1.0,0.4,6.3,621.2,25.0,73.1,Rice_Basmati
2.5,3.1,1.5,0.6,1.5,0.4,7.1,784.7,24.0,76.6,Rice_Basmati
2.7,2.7,2.1,0.5,1.6,0.5,6.9,625.8,29.3,71.7,Rice_Basmati
2.8,3.1,2.5,0.5,1.1,0.5,6.7,731.7,25.7,75.6,Rice_Basmati
3.2,2.9,1.7,0.5,1.0,0.6,7.0,773.5,26.2,78.1,Rice_Basmati
2.7,2.5,2.1,0.4,1.3,0.7,6.4,660.4,24.9,72.6,Rice_Basmati
3.0,2.6,1.6,0.5,1.3,0.6,6.5,692.2,24.1,78.2,Rice_Basmati
2.6,2.9,2.2,0.4,1.1,0.7,7.1,667.8,23.4,69.6,Rice_Basmati
2.5,2.9,2.5,0.3,1.2,0.3,6.8,651.6,26.1,75.7,Rice_Basmati
3.1,3.5,2.4,0.4,1.0,0.7,6.6,606.8,29.6,72.7,Rice_Basmati
2.8,3.1,1.9,0.4,1.5,0.5,6.7,686.1,28.2,68.8,Rice_Basmati
2.6,3.3,2.1,0.3,1.2,0.6,6.6,683.5,26.5,70.0,Rice_Basmati
2.7,2.6,2.2,0.3,1.2,0.3,6.3,688.6,26.5,67.4,Rice_Basmati
2.6,2.9,2.1,0.3,1.6,0.4,6.9,769.5,26.8,68.6,Rice_Basmati
2.8,2.9,2.4,0.5,1.2,0.7,6.7,802.6,25.5,66.4,Rice_Basmati
2.8,3.3,1.6,0.4,1.2,0.4,6.7,629.3,24.9,78.9,Rice_Basmati
3.0,2.7,1.7,0.5,1.6,0.3,6.9,787.8,29.5,67.8,Rice_Basmati
2.7,3.3,2.0,0.5,1.3,0.8,6.9,711.0,28.8,70.9,Rice_Basmati
2.8,2.9,2.4,0.5,1.1,0.8,6.5,731.4,24.4,78.7,Rice_Basmati
3.0,3.3,2.0,0.2,1.5,0.7,6.5,681.9,28.2,67.1,Rice_Basmati
3.2,2.9,2.1,0.6,1.5,0.3,6.9,824.3,24.9,71.2,Rice_Basmati
3.0,2.8,1.8,0.5,1.2,0.5,6.4,803.6,25.5,72.5,Rice_Basmati
2.6,3.2,2.0,0.2,1.3,0.3,6.8,691.7,23.1,65.0,Rice_Basmati
2.9,3.4,1.6,0.4,1.0,0.6,6.4,610.6,28.8,77.3,Rice_Basmati
3.2,3.4,1.7,0.3,1.5,0.4,6.3,658.8,26.0,67.7,Rice_Basmati
3.1,3.4,2.3,0.3,1.1,0.4,6.3,657.6,28.7,66.9,Rice_Basmati
2.5,3.4,1.6,0.4,1.2,0.5,7.1,765.5,28.1,65.4,Rice_Basmati
2.9,2.7,2.3,0.3,1.5,0.4,6.7,826.5,28.9,79.3,Rice_Basmati
2.9,3.1,2.1,0.5,1.1,0.8,6.5,832.1,24.8,74.5,Rice_Basmati
2.9,2.9,1.8,0.2,1.4,0.6,7.0,732.2,28.4,73.7,Rice_Basmati
2.7,2.6,1.6,0.3,1.2,0.7,7.0,744.5,27.4,69.4,Rice_Basmati
3.0,3.1,2.1,0.4,1.0,0.6,6.4,602.1,28.8,68.2,Rice_Basmati
3.2,3.4,2.1,0.3,1.5,0.5,6.6,629.1,28.6,79.2,Rice_Basmati
3.0,2.8,2.5,0.6,1.6,0.7,6.9,745.6,28.2,65.8,Rice_Basmati
3.1,3.3,2.2,0.2,1.4,0.7,6.3,728.6,26.0,71.5,Rice_Basmati
3.2,3.1,1.9,0.4,1.5,0.4,6.7,622.0,24.7,67.2,Rice_Basmati
3.2,2.8,2.1,0.5,1.6,0.8,6.5,795.9,28.7,74.8,Rice_Basmati
3.0,3.5,1.8,0.2,1.5,0.7,7.0,624.6,23.8,78.7,Rice_Basmati
2.7,2.7,2.0,0.5,1.4,0.7,7.0,770.3,24.4,78.1,Rice_Basmati
3.0,3.0,1.6,0.6,1.3,0.4,6.3,633.0,28.8,67.3,Rice_Basmati
2.9,3.3,2.3,0.6,1.1,0.5,7.2,607.9,25.6,65.0,Rice_Basmati
